# Empirical angular response (derive_angular_response.py, cube#81)
# tl_removed: true
# absorption_db_per_m: 0.0489736
# water_temp_c: 24
# tl_model: 40*log10(R) + 2*alpha*R   (R = twtt*c/2, metres)
abs_angle_deg_center,mean_bs_db,n,db_relative_to_nadir
1.0,0.128,53018791,+0.000
3.0,-0.262,61721979,-0.390
5.0,-0.578,49404013,-0.706
7.0,-0.521,56744837,-0.649
9.0,-1.593,49390549,-1.721
11.0,-1.619,61451836,-1.747
13.0,-1.335,49716148,-1.462
15.0,-0.839,55669322,-0.966
17.0,-2.263,55313888,-2.391
19.0,-2.137,49299965,-2.265
21.0,-2.069,53600895,-2.197
23.0,-2.261,52144755,-2.389
25.0,-3.194,54418550,-3.322
27.0,-2.864,49364816,-2.992
29.0,-3.208,49390323,-3.336
31.0,-4.340,54425129,-4.468
33.0,-4.214,48797957,-4.342
35.0,-4.936,45251175,-5.064
37.0,-4.930,47089805,-5.058
39.0,-5.793,53565112,-5.921
41.0,-6.051,43253948,-6.179
43.0,-5.820,44600875,-5.948
45.0,-6.123,51366463,-6.251
47.0,-6.144,42518987,-6.272
49.0,-6.207,41826408,-6.335
51.0,-6.226,41552673,-6.353
53.0,-7.675,42541592,-7.802
55.0,-7.605,39592314,-7.733
57.0,-9.387,37317273,-9.515
59.0,-10.379,30330190,-10.507
